id,renabap_id,barrio,municipio,provincia,tipo_unidad_ejecutora,tipo_proyecto,nombre_proyecto,tipo_de_financiamiento,estado,monto_total,fecha_acta_de_inicio,porcentaje_afi
28,462,Villa Bote,Escobar,Buenos Aires,Organización,POT,Construcción de un SUM - Villa Bote,FISU,8. Terminado,13235310.8,2021-05-18,
52,4384,Autódromo,General Pueyrredón,Buenos Aires,Organización,POT,Obras de Conexiones domiciliarias e intra lote a la Red Cloacal Barrio Autódromo - Municipio General Pueyrredón,FISU,8. Terminado,6554357.28,2021-09-01,
53,1065,B° 74 y 153 (Sin Nombre),La Plata,Buenos Aires,Organización,POT,"Obras de Intras eléctricas, Veredas y Mobiliario Urbano -Barrio 74 y 153",FISU,8. Terminado,31121611.21,2021-03-22,
54,2643/2657,Barda Este/Vivero,San Carlos De Bariloche,Río Negro,Organización,POT,“Obras de Conexiones domiciliarias e intradomiciliarias de agua”,FISU,8. Terminado,25265623.16,2021-05-17,
64,1990/1966,El Mangal/San Onofre 2,Posadas,Misiones,Organización,POT,"“Obra Temprana de  Red peatonal (veredas), arbolado público y entubado”",FISU,8. Terminado,66724404.32,2021-07-14,
65,444/852,El Martillo/Las Heras,General Pueyrredón,Buenos Aires,Organización,POT,"Conexiones domiciliarias e instalaciones intra-lote de agua, cloaca y electricidad y red peatonal (veredas).",FISU,8. Terminado,69977248.46000001,2021-03-22,
67,1553,El Paredón,Lomas de Zamora,Buenos Aires,Organización,POT,Obra de infraestructura urbana (conexiones e instalaciones intra lote de electricidad y conexiones e instalaciones intra lotes de agua)”,FISU,8. Terminado,35354584.64,2021-03-08,
78,3538,Moreira 4,Trelew,Chubut,Organización,POT,Obras de Conexiones domiciliarias e intra lote a la red de electricidad,FISU,8. Terminado,51486628.279999994,2021-12-07,
79,3313,Nueva Esperanza,Las Heras,Mendoza,Organización,POT,Obras de Red peatonal (veredas) y Arbolado Barrio Nueva Esperanza - Municipio Las Heras,FISU,8. Terminado,5838678.9,2021-09-27,
80,4549,Ocho de Mayo,General San Martín,Buenos Aires,Organización,POT,"Obras de conexión intra-domiciliaria de agua Barrio Ocho de mayo - Localidad Loma Hermosa, Municipio Gral. San Martín",FISU,8. Terminado,12404777.9,2021-07-26,
81,1128,Pinazo,Pilar,Buenos Aires,Organización,POT,“Obras de Conexiones intra lote a la red de electricidad”,FISU,8. Terminado,17369422.86,2021-08-30,
82,987,San Fermín,Luján,Buenos Aires,Organización,POT,“Obras de conexión intradomiciliaria de Agua y Puesta en valor de Equipamiento Comunitario SUM”,FISU,8. Terminado,26924158.43,2021-05-31,
83,417,San Francisco de Asís,Azul,Buenos Aires,Organización,POT,"Obras de instalaciones intra-lote de cloaca, agua y electricidad",FISU,8. Terminado,23914038.900000002,2021-12-27,
84,736,San Lorenzo,Tigre,Buenos Aires,Organización,POT,Servicio de Electricidad: Obra de conexiones Intradomiciliarias de electricidad,FISU,8. Terminado,32816236.23,2021-04-30,
85,736,San Lorenzo,Tigre,Buenos Aires,Organización,POT,Servicio de Agua: Obra de conexiones Intradomiciliarias de agua,FISU,8. Terminado,37218894.58,2021-04-28,
87,1699,Santa Rosa,Río Cuarto,Córdoba,Organización,POT,Equipamiento Comunitario y Playón deportivo,FISU,8. Terminado,13649522.31,2021-05-20,
89,2939,Sauce,San Isidro,Buenos Aires,Organización,POT,Obras de Conexiones Intralote a la Red Eléctrica y Red Peatonal (Veredas),FISU,8. Terminado,24222429.630000003,2021-08-25,
94,3379,Unidos Por Una Esperanza,Maipú,Mendoza,Organización,POT,"Obras de Equipamiento Comunitario, playón deportivo",FISU,8. Terminado,50079847.37,2021-09-10,
97,611/4283,Villa Gaucho/ Unión,Tandil,Buenos Aires,Organización,POT,"Obras de conexiones e instalaciones intra lote a la red de agua y red peatonal - Barrio Acería- Provincia de Santa Fe, Municipio de San José del Rincòn",FISU,8. Terminado,58543539.14,2022-01-24,
98,4254,Villa Hidalgo,General San Martín,Buenos Aires,Organización,POT,“Conexiones intra-domiciliarias de agua”,FISU,8. Terminado,37132790.5,2021-05-17,
99,594,Villa Laza,Tandil,Buenos Aires,Organización,POT,“Obra Temprana de Equipamiento Comunitario y Conexiones intra domiciliarias a la Red de agua”,FISU,8. Terminado,40423196.699999996,2021-06-11,
111,3374,Luz de Vida,Guaymallén,Mendoza,Organización,POT,Playón deportivo Estrella roja y Equipamiento comunitario,FISU,8. Terminado,26039814.33,2021-03-09,
121,4128,Barrio Calpini,Tafí Viejo,Tucumán,Municipio,POT,con conexiones intra domiciliarias de agua y Red de Cloaca con conexiones intra domiciliarias de cloaca,FISU,8. Terminado,28344155.270000003,2021-04-07,
124,213,La Igualdad,Baradero,Buenos Aires,Municipio,POT,Obras de servicio de Cloaca para Barrio La Igualdad (id-.213) y barrios aledaños ,FISU,8. Terminado,47344002.239999995,2021-07-20,
128,1063,Diecisiete de Noviembre,La Matanza,Buenos Aires,Municipio,POT,“Obras Tempranas Barrio 17 de Noviembre - Iluminación en vía pública”,FISU,8. Terminado,4530059.2,2021-07-21,
130,381,Hijos de Sarmiento,La Matanza,Buenos Aires,Municipio,POT,“Obras Tempranas Barrio Hijos de Sarmiento - Iluminación en vía pública”,FISU,8. Terminado,4297820.8,2021-07-12,
131,480,Las Antenas,La Matanza,Buenos Aires,Municipio,POT,“Veredas y pavimento integral con cordón cuneta”,FISU,8. Terminado,43923367.44,2021-09-16,
142,417,San Francisco de Asís,Azul,Buenos Aires,Coop. de servicios,POT,"“Extensión de red de agua, cloaca y electricidad con conexiones domiciliarias y Alumbrado Público”",FISU,8. Terminado,28150120.07,2021-09-14,
149,3076,Simon Bolívar,Formosa,Formosa,Provincia,POT,Extensión de Red Eléctrica de Media Tensión,FISU,8. Terminado,21727893.47,2022-01-07,
170,2934,Barrio Independencia,General San Martín,Buenos Aires,Municipio,POT,“Obra de Completamiento: Construcción Jardín Maternal Municipal Independencia”,FISU,8. Terminado,35050574.480000004,2021-07-13,
177,2681,General Mosconi Viejo,Paraná,Entre Ríos,Organización,POT,“Red peatonal: Veredas y arbolado”,FISU,8. Terminado,31317142.81,2021-06-10,
182,482,Santa Ana II,Florencio Varela,Buenos Aires,Organización,POT,Obras de conexiones domiciliarias de instalación eléctrica Barrio Santa Ana II,FISU,8. Terminado,9538809.649999999,2021-11-23,
190,4249,Caribe,General Pueyrredón,Buenos Aires,Organización,POT,"Obras de Conexiones domiciliarias e intra lote a la red de agua y electricidad, Barrio El Caribe - Municipio General Pueyrredón",FISU,8. Terminado,24877886.36,2021-09-28,
191,2891,Nuevo Golf,General Pueyrredón,Buenos Aires,Organización,POT,Obras de Conexiones domiciliarias de electricidad a red e Instalación intra-lote y Sistema de Red Peatonal y Parquización,FISU,8. Terminado,43025690.91,2021-12-14,
197,2001,Chacra 158,Posadas,Misiones,Organización,POT,"“Obra Temprana de Red Peatonal, Conexiones intra domiciliarias a la Red de electricidad y de agua”",FISU,8. Terminado,35345795.51,2021-06-04,
212,3006,Acería,San José Del Rincón,Santa Fe,Organización,POT,"Obras de conexiones e instalaciones intra lote a la red de agua y red peatonal - Barrio Acería- Provincia de Santa Fe, Municipio de San José del Rincòn",FISU,8. Terminado,30254851.02,2021-10-11,
